sep=,

June 15. 2018
Sensor Datalog
Time,Time,Pressure,Temperature,Humidity,Acceleration(XYZ),,,Angular Rate(XYZ),,,Mag Field(XYZ),,,
[h:m],[s],[hPa],[°C],[%],[mg],[mg],[mg],[mdps],[mdps],[mdps],[mGauss],[mGauss],[mGauss],
 8:11,49.08,,,,,,,,,,204,205,61,
 8:11,49.10,,,,,,,,,,183,361,-282,
 8:11,49.11,,,,,,,,,,228,274,408,
 8:11,49.12,,,,,,,,,,216,187,169,
 8:11,49.14,,,,,,,,,,207,501,130,
 8:11,49.15,,,,,,,,,,189,328,-241,
 8:11,49.17,,,,,,,,,,183,508,-312,
 8:11,49.18,,,,,,,,,,217,186,241,
 8:11,49.19,,,,,,,,,,183,274,-154,
 8:11,49.21,,,,,,,,,,222,361,367,
 8:11,49.22,,,,,,,,,,175,469,-333,
 8:11,49.23,,,,,,,,,,201,537,-82,
 8:11,49.25,,,,,,,,,,196,235,-52,
 8:11,49.26,,,,,,,,,,180,424,-331,
 8:11,49.28,,,,,,,,,,229,223,384,
 8:11,49.29,,,,,,,,,,190,549,-169,
 8:11,49.30,,,,,,,,,,219,459,216,
 8:11,49.32,,,,,,,,,,178,378,-294,
 8:11,49.33,,,,,,,,,,181,532,-258,
 8:11,49.34,,,,,,,,,,204,190,156,
 8:11,49.36,,,,,,,,,,201,498,115,
 8:11,49.37,,,,,,,,,,229,313,399,
 8:11,49.39,,,,,,,,,,180,504,-307,
 8:11,49.40,,,,,,,,,,202,531,16,
 8:11,49.41,,,,,,,,,,186,274,-156,
 8:11,49.43,,,,,,,,,,225,363,367,
 8:11,49.44,,,,,,,,,,223,199,325,
 8:11,49.46,,,,,,,,,,204,543,-82,
 8:11,49.47,,,,,,,,,,211,415,294,
 8:11,49.48,,,,,,,,,,175,417,-321,
 8:11,49.50,,,,,,,,,,225,231,376,
 8:11,49.51,,,,,,,,,,207,208,54,
 8:11,49.52,,,,,,,,,,219,468,222,
 8:11,49.54,,,,,,,,,,183,259,397,
 8:11,49.55,,,,,,,,,,180,526,-253,
 8:11,49.57,,,,,,,,,,208,184,153,
 8:11,49.58,,,,,,,,,,186,324,-237,
 8:11,49.59,,,,,,,,,,222,318,400,
 8:11,49.60,,,,,,,,,,187,498,-307,
 8:11,49.62,,,,,,,,,,199,529,16,
 8:11,49.63,,,,,,,,,,187,280,-145,
 8:11,49.65,,,,,,,,,,181,468,-340,
 8:11,49.66,,,,,,,,,,220,198,322,
 8:11,49.67,,,,,,,,,,190,550,-94,
 8:11,49.69,,,,,,,,,,220,417,292,
 8:11,49.70,,,,,,,,,,178,415,-330,
 8:11,49.72,,,,,,,,,,189,546,-184,
 8:11,49.73,,,,,,,,,,204,204,63,
 8:11,49.75,,,,,,,,,,220,472,207,
 8:11,49.76,,,,,,,,,,226,267,403,
 8:11,49.77,,,,,,,,,,187,537,-237,
 8:11,49.78,,,,,,,,,,216,501,132,
 8:11,49.80,,,,,,,,,,186,319,-238,
 8:11,49.81,,,,,,,,,,220,310,408,
 8:11,49.83,,,,,,,,,,216,187,235,
 8:11,49.84,,,,,,,,,,211,526,31,
 8:11,49.85,,,,,,,,,,228,357,367,
 8:11,49.87,,,,,,,,,,183,472,-336,
 8:11,49.88,,,,,,,,,,217,201,313,
 8:11,49.89,,,,,,,,,,196,240,-66,
 8:11,49.91,,,,,,,,,,216,408,319,
 8:11,49.92,,,,,,,,,,222,216,364,
 8:11,49.94,,,,,,,,,,190,550,-166,
 8:11,49.95,,,,,,,,,,190,204,40,
 8:11,49.96,,,,,,,,,,183,373,-304,
 8:11,49.98,,,,,,,,,,232,259,403,
 8:11,49.99,,,,,,,,,,207,190,147,
 8:11,50.01,,,,,,,,,,214,498,147,
 8:11,50.02,,,,,,,,,,177,319,-240,
 8:11,50.03,,,,,,,,,,181,520,-303,
 8:11,50.05,,,,,,,,,,211,184,238,
 8:11,50.06,,,,,,,,,,186,285,-157,
 8:11,50.07,,,,,,,,,,226,358,366,
 8:11,50.09,,,,,,,,,,180,475,-339,
 8:11,50.10,,,,,,,,,,204,540,-69,
 8:11,50.12,,,,,,,,,,190,244,-60,
 8:11,50.13,,,,,,,,,,178,427,-334,
 8:11,50.14,,,,,,,,,,228,219,373,
 8:11,50.16,,,,,,,,,,190,544,-178,
 8:11,50.17,,,,,,,,,,219,456,228,
 8:11,50.18,,,,,,,,,,186,378,-298,
 8:11,50.20,,,,,,,,,,181,544,-249,
 8:11,50.21,,,,,,,,,,208,189,145,
 8:11,50.23,,,,,,,,,,216,496,139,
 8:11,50.24,,,,,,,,,,229,307,396,
 8:11,50.25,,,,,,,,,,187,510,-306,
 8:11,50.27,,,,,,,,,,208,526,30,
 8:11,50.28,,,,,,,,,,187,280,-162,
 8:11,50.30,,,,,,,,,,225,361,367,
 8:11,50.31,,,,,,,,,,219,195,318,
 8:11,50.32,,,,,,,,,,204,546,-73,
 8:11,50.33,,,,,,,,,,225,415,315,
 8:11,50.35,,,,,,,,,,183,424,-334,
 8:11,50.36,,,,,,,,,,223,229,373,
 8:11,50.38,,,,,,,,,,202,207,42,
 8:11,50.39,,,,,,,,,,210,448,234,
 8:11,50.41,,,,,,,,,,178,243,397,
 8:11,50.42,,,,,,,,,,189,537,-235,
 8:11,50.43,,,,,,,,,,208,193,121,
 8:11,50.44,,,,,,,,,,187,337,-261,
 8:11,50.46,,,,,,,,,,237,303,406,
 8:11,50.47,,,,,,,,,,177,516,-298,
 8:11,50.49,,,,,,,,,,205,513,52,
 8:11,50.50,,,,,,,,,,198,289,-184,
 8:11,50.51,,,,,,,,,,174,484,-327,
 8:11,50.53,,,,,,,,,,210,192,298,
 8:11,50.54,,,,,,,,,,199,546,-42,
 8:11,50.56,,,,,,,,,,222,397,327,
 8:11,50.57,,,,,,,,,,183,442,-330,
 8:11,50.58,,,,,,,,,,189,556,-151,
 8:11,50.60,,,,,,,,,,204,210,19,
 8:11,50.61,,,,,,,,,,222,448,250,
 8:11,50.62,,,,,,,,,,225,253,393,
 8:11,50.64,,,,,,,,,,198,544,-231,
 8:11,50.65,,,,,,,,,,214,490,163,
 8:11,50.67,,,,,,,,,,187,343,-258,
 8:11,50.68,,,,,,,,,,234,297,412,
 8:11,50.69,,,,,,,,,,208,187,222,
 8:11,50.71,,,,,,,,,,202,517,60,
 8:11,50.72,,,,,,,,,,232,346,390,
 8:11,50.73,,,,,,,,,,189,486,-327,
 8:11,50.75,,,,,,,,,,214,193,306,
 8:11,50.76,,,,,,,,,,184,247,-81,
 8:11,50.78,,,,,,,,,,225,399,331,
 8:11,50.79,,,,,,,,,,228,217,355,
 8:11,50.80,,,,,,,,,,189,550,-144,
 8:11,50.82,,,,,,,,,,204,211,10,
 8:11,50.83,,,,,,,,,,181,393,-306,
 8:11,50.85,,,,,,,,,,229,253,396,
 8:11,50.86,,,,,,,,,,211,198,109,
 8:11,50.87,,,,,,,,,,217,486,171,
 8:11,50.89,,,,,,,,,,183,345,-264,
 8:11,50.90,,,,,,,,,,186,526,-286,
 8:11,50.91,,,,,,,,,,208,184,210,
 8:11,50.93,,,,,,,,,,183,297,-190,
 8:11,50.94,,,,,,,,,,231,337,381,
 8:11,50.96,,,,,,,,,,180,490,-327,
 8:11,50.97,,,,,,,,,,196,531,-43,
 8:11,50.98,,,,,,,,,,193,253,-108,
 8:11,51.00,,,,,,,,,,177,442,-339,
 8:11,51.01,,,,,,,,,,226,217,349,
 8:11,51.02,,,,,,,,,,193,552,-142,
 8:11,51.04,,,,,,,,,,211,424,288,
 8:11,51.05,,,,,,,,,,178,403,-322,
 8:11,51.07,,,,,,,,,,195,547,-199,
 8:11,51.08,,,,,,,,,,207,202,85,
 8:11,51.09,,,,,,,,,,213,475,195,
 8:11,51.11,,,,,,,,,,229,279,408,
 8:11,51.12,,,,,,,,,,183,528,-277,
 8:11,51.14,,,,,,,,,,213,508,96,
 8:11,51.15,,,,,,,,,,189,304,-213,
 8:11,51.16,,,,,,,,,,226,331,391,
 8:11,51.17,,,,,,,,,,214,193,276,
 8:11,51.19,,,,,,,,,,204,534,-7,
 8:11,51.20,,,,,,,,,,231,375,351,
 8:11,51.22,,,,,,,,,,180,462,-339,
 8:11,51.23,,,,,,,,,,220,207,340,
 8:11,51.25,,,,,,,,,,192,222,-22,
 8:11,51.26,,,,,,,,,,222,424,289,
 8:11,51.27,,,,,,,,,,231,237,384,
 8:11,51.28,,,,,,,,,,186,547,-202,
 8:11,51.30,,,,,,,,,,205,198,79,
 8:11,51.31,,,,,,,,,,181,354,-271,
 8:11,51.33,,,,,,,,,,234,280,402,
 8:11,51.34,,,,,,,,,,210,189,181,
 8:11,51.35,,,,,,,,,,210,505,97,
 8:11,51.37,,,,,,,,,,181,312,-220,
 8:11,51.38,,,,,,,,,,175,498,-316,
 8:11,51.40,,,,,,,,,,214,187,271,
 8:11,51.41,,,,,,,,,,205,538,-129,
 8:11,51.42,,,,,,,,,,225,381,348,
 8:11,51.44,,,,,,,,,,183,460,-343,
 8:11,51.45,,,,,,,,,,192,547,-115,
 8:11,51.46,,,,,,,,,,201,229,-28,
 8:11,51.48,,,,,,,,,,222,426,285,
 8:11,51.49,,,,,,,,,,237,237,390,
 8:11,51.51,,,,,,,,,,192,537,-195,
 8:11,51.52,,,,,,,,,,220,468,207,
 8:11,51.53,,,,,,,,,,187,361,-274,
 8:11,51.55,,,,,,,,,,229,283,406,
 8:11,51.56,,,,,,,,,,205,187,174,
 8:11,51.57,,,,,,,,,,211,510,91,
 8:11,51.59,,,,,,,,,,226,322,393,
 8:11,51.60,,,,,,,,,,175,501,-322,
 8:11,51.62,,,,,,,,,,214,190,273,
 8:11,51.63,,,,,,,,,,187,264,-135,
 8:11,51.64,,,,,,,,,,225,367,355,
 8:11,51.66,,,,,,,,,,223,198,327,
 8:11,51.67,,,,,,,,,,202,546,-99,
 8:11,51.69,,,,,,,,,,193,228,-42,
 8:11,51.70,,,,,,,,,,183,412,-328,
 8:11,51.71,,,,,,,,,,219,231,381,
 8:11,51.73,,,,,,,,,,195,198,60,
 8:11,51.74,,,,,,,,,,225,466,205,
 8:11,51.75,,,,,,,,,,180,372,-298,
 8:11,51.77,,,,,,,,,,190,523,-259,
 8:11,51.78,,,,,,,,,,216,192,160,
 8:11,51.80,,,,,,,,,,183,313,-225,
