sep=,

June 14. 2018
Sensor Datalog
Time,Time,Pressure,Temperature,Humidity,Acceleration(XYZ),,,Angular Rate(XYZ),,,Mag Field(XYZ),,,
[h:m],[s],[hPa],[°C],[%],[mg],[mg],[mg],[mdps],[mdps],[mdps],[mGauss],[mGauss],[mGauss],
 8:11,45.65,,,,,,,,,,330,541,64,
 8:11,45.66,,,,,,,,,,334,259,-253,
 8:11,45.67,,,,,,,,,,336,391,-286,
 8:11,45.69,,,,,,,,,,339,336,115,
 8:11,45.70,,,,,,,,,,334,525,-7,
 8:11,45.71,,,,,,,,,,333,526,247,
 8:11,45.73,,,,,,,,,,333,346,-313,
 8:11,45.74,,,,,,,,,,331,508,-82,
 8:11,45.76,,,,,,,,,,343,259,-139,
 8:11,45.77,,,,,,,,,,345,543,217,
 8:11,45.78,,,,,,,,,,339,418,222,
 8:11,45.80,,,,,,,,,,330,480,-151,
 8:11,45.81,,,,,,,,,,346,273,-70,
 8:11,45.82,,,,,,,,,,336,288,-310,
 8:11,45.84,,,,,,,,,,343,457,252,
 8:11,45.85,,,,,,,,,,336,292,13,
 8:11,45.87,,,,,,,,,,331,549,97,
 8:11,45.88,,,,,,,,,,333,264,-277,
 8:11,45.89,,,,,,,,,,331,412,-270,
 8:11,45.91,,,,,,,,,,337,324,79,
 8:11,45.92,,,,,,,,,,337,259,-231,
 8:11,45.94,,,,,,,,,,333,511,259,
 8:11,45.95,,,,,,,,,,336,370,-306,
 8:11,45.96,,,,,,,,,,331,514,-46,
 8:11,45.98,,,,,,,,,,333,252,-172,
 8:11,45.99,,,,,,,,,,331,336,-315,
 8:11,46.00,,,,,,,,,,336,387,198,
 8:11,46.02,,,,,,,,,,334,493,-115,
 8:11,46.03,,,,,,,,,,334,546,195,
 8:11,46.05,,,,,,,,,,331,301,-322,
 8:11,46.06,,,,,,,,,,336,460,-175,
 8:11,46.07,,,,,,,,,,346,276,-33,
 8:11,46.08,,,,,,,,,,337,552,139,
 8:11,46.10,,,,,,,,,,348,469,253,
 8:11,46.11,,,,,,,,,,328,426,-237,
 8:11,46.13,,,,,,,,,,333,550,93,
 8:11,46.14,,,,,,,,,,337,265,-264,
 8:11,46.16,,,,,,,,,,333,493,268,
 8:11,46.17,,,,,,,,,,337,334,96,
 8:11,46.18,,,,,,,,,,337,540,19,
 8:11,46.19,,,,,,,,,,333,520,259,
 8:11,46.21,,,,,,,,,,340,355,-303,
