sep=,

June 18. 2018
Sensor Datalog
Time,Time,Pressure,Temperature,Humidity,Acceleration(XYZ),,,Angular Rate(XYZ),,,Mag Field(XYZ),,,
[h:m],[s],[hPa],[°C],[%],[mg],[mg],[mg],[mdps],[mdps],[mdps],[mGauss],[mGauss],[mGauss],
 9:55,09.87,,,,,,,,,,160,121,-30,
 9:55,09.89,,,,,,,,,,162,630,-150,
 9:55,09.90,,,,,,,,,,168,259,324,
 9:55,09.92,,,,,,,,,,160,544,328,
 9:55,09.93,,,,,,,,,,157,153,-160,
 9:55,09.94,,,,,,,,,,159,184,240,
 9:55,09.96,,,,,,,,,,153,490,-339,
 9:55,09.97,,,,,,,,,,160,462,373,
 9:55,09.99,,,,,,,,,,159,658,124,
 9:55,10.00,,,,,,,,,,163,133,108,
 9:55,10.01,,,,,,,,,,174,351,370,
 9:55,10.03,,,,,,,,,,160,285,-337,
 9:55,10.04,,,,,,,,,,172,619,240,
 9:55,10.05,,,,,,,,,,157,630,-148,
 9:55,10.07,,,,,,,,,,162,265,328,
 9:55,10.08,,,,,,,,,,165,541,319,
 9:55,10.10,,,,,,,,,,153,162,-165,
 9:55,10.11,,,,,,,,,,165,189,235,
 9:55,10.12,,,,,,,,,,148,492,-342,
 9:55,10.14,,,,,,,,,,159,456,372,
 9:55,10.15,,,,,,,,,,162,654,118,
 9:55,10.17,,,,,,,,,,159,135,97,
 9:55,10.18,,,,,,,,,,172,355,375,
 9:55,10.19,,,,,,,,,,162,285,-340,
 9:55,10.21,,,,,,,,,,159,616,238,
 9:55,10.22,,,,,,,,,,162,630,-154,
 9:55,10.23,,,,,,,,,,171,270,313,
 9:55,10.25,,,,,,,,,,165,544,328,
 9:55,10.26,,,,,,,,,,160,147,-165,
 9:55,10.28,,,,,,,,,,165,664,-10,
 9:55,10.29,,,,,,,,,,157,492,-339,
 9:55,10.30,,,,,,,,,,163,451,384,
 9:55,10.32,,,,,,,,,,159,655,126,
 9:55,10.33,,,,,,,,,,165,133,99,
 9:55,10.34,,,,,,,,,,163,571,-264,
