sep=,

June 15. 2018
Sensor Datalog
Time,Time,Pressure,Temperature,Humidity,Acceleration(XYZ),,,Angular Rate(XYZ),,,Mag Field(XYZ),,,
[h:m],[s],[hPa],[°C],[%],[mg],[mg],[mg],[mdps],[mdps],[mdps],[mGauss],[mGauss],[mGauss],
 8:13,09.91,,,,,,,,,,225,421,739,
 8:13,09.93,,,,,,,,,,57,522,-756,
 8:13,09.94,,,,,,,,,,249,277,714,
 8:13,09.96,,,,,,,,,,171,319,-118,
 8:13,09.97,,,,,,,,,,205,463,634,
 8:13,09.98,,,,,,,,,,262,294,814,
 8:13,10.00,,,,,,,,,,70,591,-420,
 8:13,10.01,,,,,,,,,,199,297,97,
 8:13,10.02,,,,,,,,,,94,451,-672,
 8:13,10.04,,,,,,,,,,264,318,871,
 8:13,10.05,,,,,,,,,,232,279,313,
 8:13,10.07,,,,,,,,,,147,529,255,
 8:13,10.08,,,,,,,,,,111,408,-544,
 8:13,10.09,,,,,,,,,,54,567,-690,
 8:13,10.10,,,,,,,,,,249,271,514,
 8:13,10.12,,,,,,,,,,139,360,-369,
 8:13,10.13,,,,,,,,,,237,403,790,
 8:13,10.15,,,,,,,,,,66,540,-754,
 8:13,10.16,,,,,,,,,,96,583,-184,
 8:13,10.17,,,,,,,,,,163,327,-172,
 8:13,10.19,,,,,,,,,,72,505,-756,
 8:13,10.20,,,,,,,,,,267,292,787,
 8:13,10.22,,,,,,,,,,79,591,-376,
 8:13,10.23,,,,,,,,,,177,493,507,
 8:13,10.25,,,,,,,,,,84,465,-691,
 8:13,10.26,,,,,,,,,,261,322,-547,
 8:13,10.27,,,,,,,,,,217,271,267,
 8:13,10.28,,,,,,,,,,151,522,310,
 8:13,10.30,,,,,,,,,,261,351,867,
 8:13,10.31,,,,,,,,,,63,568,-676,
 8:13,10.33,,,,,,,,,,238,265,468,
 8:13,10.34,,,,,,,,,,141,375,-417,
 8:13,10.35,,,,,,,,,,234,390,820,
 8:13,10.37,,,,,,,,,,259,265,631,
 8:13,10.38,,,,,,,,,,111,582,-126,
 8:13,10.39,,,,,,,,,,168,337,-217,
 8:13,10.41,,,,,,,,,,58,513,-759,
 8:13,10.42,,,,,,,,,,265,294,769,
 8:13,10.44,,,,,,,,,,193,310,-1,
 8:13,10.45,,,,,,,,,,196,486,552,
 8:13,10.46,,,,,,,,,,79,469,-711,
 8:13,10.48,,,,,,,,,,75,591,-507,
 8:13,10.49,,,,,,,,,,214,279,216,
 8:13,10.51,,,,,,,,,,100,426,-610,
 8:13,10.52,,,,,,,,,,259,337,867,
 8:13,10.53,,,,,,,,,,64,580,-652,
 8:13,10.55,,,,,,,,,,130,553,150,
 8:13,10.56,,,,,,,,,,133,384,-463,
 8:13,10.57,,,,,,,,,,60,556,-717,
 8:13,10.59,,,,,,,,,,250,276,559,
 8:13,10.60,,,,,,,,,,118,574,-28,
 8:13,10.62,,,,,,,,,,229,418,759,
 8:13,10.63,,,,,,,,,,63,529,-766,
 8:13,10.64,,,,,,,,,,94,580,-232,
 8:13,10.66,,,,,,,,,,175,316,-99,
 8:13,10.67,,,,,,,,,,205,459,627,
 8:13,10.68,,,,,,,,,,258,292,820,
 8:13,10.70,,,,,,,,,,76,597,-426,
 8:13,10.71,,,,,,,,,,177,493,450,
 8:13,10.73,,,,,,,,,,94,451,-670,
 8:13,10.74,,,,,,,,,,259,328,870,
 8:13,10.75,,,,,,,,,,228,273,319,
 8:13,10.76,,,,,,,,,,145,540,246,
 8:13,10.78,,,,,,,,,,250,364,855,
 8:13,10.79,,,,,,,,,,60,567,-691,
 8:13,10.81,,,,,,,,,,247,268,514,
 8:13,10.82,,,,,,,,,,144,373,-372,
 8:13,10.83,,,,,,,,,,231,403,793,
 8:13,10.85,,,,,,,,,,66,267,675,
 8:13,10.86,,,,,,,,,,97,585,-181,
 8:13,10.88,,,,,,,,,,159,327,-175,
 8:13,10.89,,,,,,,,,,66,501,-760,
 8:13,10.91,,,,,,,,,,267,292,787,
 8:13,10.92,,,,,,,,,,76,591,-376,
 8:13,10.93,,,,,,,,,,181,490,510,
 8:13,10.94,,,,,,,,,,96,460,-703,
 8:13,10.96,,,,,,,,,,57,591,-537,
 8:13,10.97,,,,,,,,,,216,285,265,
 8:13,10.99,,,,,,,,,,154,528,307,
 8:13,11.00,,,,,,,,,,253,352,867,
 8:13,11.01,,,,,,,,,,55,570,-666,
 8:13,11.03,,,,,,,,,,136,558,94,
 8:13,11.04,,,,,,,,,,141,373,-415,
 8:13,11.05,,,,,,,,,,226,397,817,
 8:13,11.07,,,,,,,,,,253,273,630,
 8:13,11.08,,,,,,,,,,102,582,-124,
 8:13,11.10,,,,,,,,,,210,432,706,
 8:13,11.11,,,,,,,,,,69,516,-762,
 8:13,11.12,,,,,,,,,,268,285,759,
 8:13,11.14,,,,,,,,,,190,297,-15,
 8:13,11.15,,,,,,,,,,192,477,553,
 8:13,11.17,,,,,,,,,,262,318,844,
 8:13,11.18,,,,,,,,,,58,594,-505,
 8:13,11.19,,,,,,,,,,219,285,204,
 8:13,11.21,,,,,,,,,,99,433,-636,
 8:13,11.22,,,,,,,,,,259,330,873,
 8:13,11.23,,,,,,,,,,235,270,364,
 8:13,11.25,,,,,,,,,,145,546,195,
 8:13,11.26,,,,,,,,,,121,394,-505,
 8:13,11.28,,,,,,,,,,63,559,-714,
 8:13,11.29,,,,,,,,,,255,270,553,
 8:13,11.30,,,,,,,,,,145,355,-327,
 8:13,11.32,,,,,,,,,,222,412,771,
 8:13,11.33,,,,,,,,,,58,529,-754,
 8:13,11.34,,,,,,,,,,96,585,-232,
 8:13,11.36,,,,,,,,,,183,318,-124,
 8:13,11.37,,,,,,,,,,72,492,-748,
 8:13,11.39,,,,,,,,,,264,292,811,
 8:13,11.40,,,,,,,,,,76,594,-414,
 8:13,11.41,,,,,,,,,,172,493,463,
 8:13,11.43,,,,,,,,,,82,453,-673,
 8:13,11.44,,,,,,,,,,66,582,-573,
 8:13,11.46,,,,,,,,,,232,271,307,
 8:13,11.47,,,,,,,,,,147,540,255,
 8:13,11.48,,,,,,,,,,252,358,855,
 8:13,11.50,,,,,,,,,,54,568,-694,
 8:13,11.51,,,,,,,,,,115,570,49,
 8:13,11.52,,,,,,,,,,144,364,-390,
 8:13,11.54,,,,,,,,,,229,406,802,
 8:13,11.55,,,,,,,,,,255,274,667,
 8:13,11.57,,,,,,,,,,96,585,-169,
 8:13,11.58,,,,,,,,,,166,330,679,
 8:13,11.59,,,,,,,,,,73,508,-754,
 8:13,11.60,,,,,,,,,,270,294,787,
 8:13,11.62,,,,,,,,,,193,300,36,
 8:13,11.63,,,,,,,,,,189,484,517,
 8:13,11.65,,,,,,,,,,82,459,-696,
 8:13,11.66,,,,,,,,,,64,592,-538,
 8:13,11.67,,,,,,,,,,223,286,256,
 8:13,11.69,,,,,,,,,,114,420,-583,
 8:13,11.70,,,,,,,,,,255,343,862,
 8:13,11.72,,,,,,,,,,63,582,-666,
 8:13,11.73,,,,,,,,,,133,550,94,
 8:13,11.75,,,,,,,,,,139,375,-423,
 8:13,11.76,,,,,,,,,,60,546,-738,
 8:13,11.77,,,,,,,,,,249,264,639,
 8:13,11.78,,,,,,,,,,106,582,-115,
 8:13,11.80,,,,,,,,,,214,438,712,
 8:13,11.81,,,,,,,,,,69,502,-759,
 8:13,11.83,,,,,,,,,,87,594,-283,
