sep=,

June 15. 2018
Sensor Datalog
Time,Time,Pressure,Temperature,Humidity,Acceleration(XYZ),,,Angular Rate(XYZ),,,Mag Field(XYZ),,,
[h:m],[s],[hPa],[°C],[%],[mg],[mg],[mg],[mdps],[mdps],[mdps],[mGauss],[mGauss],[mGauss],
 9:29,22.18,,,,,,,,,,108,288,-421,
 9:29,22.19,,,,,,,,,,99,439,-376,
 9:29,22.21,,,,,,,,,,165,123,289,
 9:29,22.22,,,,,,,,,,148,399,211,
 9:29,22.24,,,,,,,,,,192,229,654,
 9:29,22.25,,,,,,,,,,96,421,-457,
 9:29,22.26,,,,,,,,,,136,430,42,
 9:29,22.28,,,,,,,,,,123,202,-205,
 9:29,22.29,,,,,,,,,,189,268,600,
 9:29,22.30,,,,,,,,,,184,124,535,
 9:29,22.32,,,,,,,,,,118,448,-106,
 9:29,22.33,,,,,,,,,,174,322,507,
 9:29,22.35,,,,,,,,,,103,337,-483,
 9:29,22.36,,,,,,,,,,199,145,616,
 9:29,22.37,,,,,,,,,,156,141,100,
 9:29,22.39,,,,,,,,,,171,369,381,
 9:29,22.40,,,,,,,,,,201,178,663,
 9:29,22.42,,,,,,,,,,106,435,-366,
 9:29,22.43,,,,,,,,,,165,124,259,
 9:29,22.44,,,,,,,,,,112,252,-349,
 9:29,22.46,,,,,,,,,,192,222,663,
 9:29,22.47,,,,,,,,,,175,115,399,
 9:29,22.48,,,,,,,,,,141,429,75,
 9:29,22.50,,,,,,,,,,129,213,-223,
 9:29,22.51,,,,,,,,,,93,399,-493,
 9:29,22.53,,,,,,,,,,193,123,513,
 9:29,22.54,,,,,,,,,,138,175,-78,
 9:29,22.55,,,,,,,,,,183,307,522,
 9:29,22.57,,,,,,,,,,96,349,-496,
 9:29,22.58,,,,,,,,,,117,451,-217,
 9:29,22.59,,,,,,,,,,150,153,69,
 9:29,22.61,,,,,,,,,,102,310,-459,
 9:29,22.62,,,,,,,,,,192,172,655,
 9:29,22.64,,,,,,,,,,100,450,-343,
 9:29,22.65,,,,,,,,,,157,379,307,
 9:29,22.66,,,,,,,,,,109,277,-385,
 9:29,22.68,,,,,,,,,,100,430,-411,
 9:29,22.69,,,,,,,,,,175,117,348,
 9:29,22.71,,,,,,,,,,154,409,154,
 9:29,22.72,,,,,,,,,,195,235,643,
 9:29,22.73,,,,,,,,,,102,400,-477,
 9:29,22.75,,,,,,,,,,184,438,-3,
 9:29,22.76,,,,,,,,,,132,186,-151,
 9:29,22.77,,,,,,,,,,184,286,573,
 9:29,22.79,,,,,,,,,,193,135,576,
 9:29,22.80,,,,,,,,,,117,445,-153,
 9:29,22.82,,,,,,,,,,148,163,-6,
 9:29,22.83,,,,,,,,,,102,333,-472,
 9:29,22.84,,,,,,,,,,199,159,642,
 9:29,22.85,,,,,,,,,,160,139,154,
 9:29,22.87,,,,,,,,,,165,364,333,
 9:29,22.88,,,,,,,,,,102,289,-423,
 9:29,22.90,,,,,,,,,,99,427,-393,
 9:29,22.91,,,,,,,,,,168,129,309,
 9:29,22.92,,,,,,,,,,115,232,-307,
 9:29,22.94,,,,,,,,,,195,240,654,
 9:29,22.95,,,,,,,,,,96,408,-469,
 9:29,22.97,,,,,,,,,,141,430,25,
