sep=,,,,
,,,,
June 11. 2018,,,,
Sensor Datalog,,,,
Time,Time,Mag Field(XYZ),,
[h:m],[s],[mGauss],[mGauss],[mGauss]
 8:10,37.73,319,312,306
 8:10,37.75,364,486,288
 8:10,37.76,18,310,294
 8:10,37.77,0,394,276
 8:10,37.79,387,333,306
 8:10,37.8,70,300,298
 8:10,37.82,552,447,289
 8:10,37.83,-28,375,279
 8:10,37.84,225,475,277
 8:10,37.85,121,297,294
 8:10,37.87,-36,348,274
 8:10,37.88,504,379,304
 8:10,37.9,144,450,277
 8:10,37.91,472,481,291
 8:10,37.92,-40,336,279
 8:10,37.94,103,444,276
 8:10,37.95,244,298,300
 8:10,37.96,433,486,277
 8:10,37.98,552,414,298
 8:10,37.99,45,429,277
 8:10,38.01,361,489,285
 8:10,38.02,12,315,285
 8:10,38.03,559,439,291
 8:10,38.05,396,339,300
 8:10,38.06,291,481,274
 8:10,38.08,66,310,292
 8:10,38.09,-27,373,274
 8:10,38.1,450,352,304
 8:10,38.12,123,295,295
 8:10,38.13,514,475,283
 8:10,38.14,-39,354,285
 8:10,38.16,145,450,267
 8:10,38.17,204,295,300
 8:10,38.19,-42,336,283
 8:10,38.2,538,400,297
 8:10,38.21,79,429,274
 8:10,38.23,406,490,279
 8:10,38.24,-7,321,280
 8:10,38.25,31,414,280
 8:10,38.27,352,328,298
 8:10,38.28,340,483,282
 8:10,38.3,561,436,304
 8:10,38.31,-18,381,268
 8:10,38.32,270,475,285
 8:10,38.33,84,303,295
 8:10,38.35,538,459,286
 8:10,38.36,475,367,307
 8:10,38.38,187,472,271
 8:10,38.39,502,481,288
 8:10,38.41,-45,345,273
 8:10,38.42,520,382,306
 8:10,38.43,231,298,303
 8:10,38.45,447,477,283
 8:10,38.46,553,412,297
 8:10,38.48,57,435,268
 8:10,38.49,303,309,306
 8:10,38.5,-1,312,282
 8:10,38.51,567,432,301
 8:10,38.53,15,400,271
 8:10,38.54,309,486,273
 8:10,38.56,34,301,297
 8:10,38.57,-24,394,288
 8:10,38.58,426,334,304
 8:10,38.6,261,471,279
 8:10,38.61,538,460,292
 8:10,38.62,-40,361,277
 8:10,38.64,183,463,274
 8:10,38.65,160,301,297
 8:10,38.67,498,474,291
 8:10,38.68,522,393,303
 8:10,38.69,109,445,273
 8:10,38.71,441,489,286
 8:10,38.72,-25,327,277
 8:10,38.74,552,412,304
 8:10,38.75,307,321,304
 8:10,38.76,378,487,283
 8:10,38.78,558,438,294
 8:10,38.79,4,406,274
 8:10,38.8,376,331,304
 8:10,38.82,54,309,288
