sep=,,,,
,,,,
June 11. 2018,,,,
Sensor Datalog,,,,
Time,Time,Mag Field(XYZ),,
[h:m],[s],[mGauss],[mGauss],[mGauss]
 8:10,3.83,130,282,286
 8:10,3.84,499,460,274
 8:10,3.85,495,378,288
 8:10,3.87,148,420,256
 8:10,3.88,199,291,286
 8:10,3.9,-19,298,258
 8:10,3.91,529,400,295
 8:10,3.92,274,307,283
 8:10,3.94,396,462,273
 8:10,3.95,4,292,271
 8:10,3.97,19,373,264
 8:10,3.98,355,330,294
 8:10,4,45,286,280
 8:10,4.01,540,444,270
 8:10,4.02,-7,358,259
 8:10,4.03,258,457,268
 8:10,4.05,97,283,286
 8:10,4.06,528,327,258
 8:10,4.08,462,370,289
 8:10,4.09,184,427,256
 8:10,4.1,483,468,271
 8:10,4.12,-33,310,273
 8:10,4.13,513,384,283
 8:10,4.14,234,288,283
 8:10,4.16,432,465,265
 8:10,4.17,541,411,292
 8:10,4.19,64,393,252
 8:10,4.2,304,307,288
 8:10,4.21,16,292,279
 8:10,4.23,540,423,283
 8:10,4.24,373,333,294
 8:10,4.26,298,456,268
 8:10,4.27,60,285,279
 8:10,4.28,-6,343,261
 8:10,4.3,433,357,294
 8:10,4.31,126,288,282
 8:10,4.32,511,456,282
 8:10,4.34,-31,322,264
 8:10,4.35,162,420,253
 8:10,4.37,198,288,283
 8:10,4.38,-22,306,270
 8:10,4.39,519,405,283
 8:10,4.41,94,402,255
 8:10,4.42,406,469,267
 8:10,4.43,-6,297,265
 8:10,4.45,64,390,265
 8:10,4.46,313,315,282
 8:10,4.48,363,475,267
 8:10,4.49,535,435,286
 8:10,4.5,15,358,259
 8:10,4.51,289,460,259
 8:10,4.53,69,286,282
 8:10,4.55,531,442,282
 8:10,4.56,435,349,301
 8:10,4.57,222,442,267
 8:10,4.58,129,285,288
 8:10,4.6,-28,315,264
 8:10,4.61,478,379,291
 8:10,4.63,189,292,283
 8:10,4.64,456,466,274
 8:10,4.66,-21,298,264
 8:10,4.67,81,393,267
 8:10,4.68,265,304,289
 8:10,4.69,-1,280,271
 8:10,4.71,538,418,285
 8:10,4.72,42,376,258
 8:10,4.74,343,465,264
 8:10,4.75,36,288,267
 8:10,4.76,1,360,262
 8:10,4.78,399,342,294
 8:10,4.79,265,459,270
 8:10,4.8,516,460,280
 8:10,4.82,-18,333,270
 8:10,4.83,193,432,261
 8:10,4.85,157,286,285
 8:10,4.86,493,472,277
 8:10,4.87,499,385,291
 8:10,4.89,133,412,259
 8:10,4.9,439,468,277
