June 4. 2018,,,,
Sensor Datalog,,,,
Time,Time,Mag Field(XYZ),,
[h:m],[s],[mGauss],[mGauss],[mGauss]
 9:24,41.47,-400,-247,498
 9:24,41.48,-741,771,487
 9:24,41.5,-543,232,498
 9:24,41.51,-759,685,483
 9:24,41.52,-411,-232,504
 9:24,41.53,-504,-52,499
 9:24,41.55,-592,381,489
 9:24,41.56,-424,-168,502
 9:24,41.58,-792,874,480
 9:24,41.59,-462,-148,490
 9:24,41.6,-672,403,483
 9:24,41.62,-454,-64,495
 9:24,41.63,-424,-220,496
 9:24,41.65,-694,658,486
 9:24,41.66,-616,253,489
 9:24,41.67,-792,790,484
 9:24,41.69,-409,-250,495
 9:24,41.7,-561,103,487
 9:24,41.71,-529,198,495
 9:24,41.73,-756,703,487
 9:24,41.74,-775,831,490
 9:24,41.76,-510,-25,492
 9:24,41.77,-724,580,484
 9:24,41.78,-405,-193,502
 9:24,41.8,-790,859,483
 9:24,41.81,-640,496,496
 9:24,41.82,-673,436,480
 9:24,41.84,-438,-88,490
 9:24,41.85,-429,-208,499
 9:24,41.87,-691,625,487
 9:24,41.88,-475,24,498
 9:24,41.89,-792,805,481
 9:24,41.91,-403,-244,495
 9:24,41.92,-574,142,486
 9:24,41.93,-514,171,496
 9:24,41.95,-402,-252,507
 9:24,41.96,-766,819,477
 9:24,41.98,-519,3,489
 9:24,41.99,-741,640,484
 9:24,42,-405,-207,502
 9:24,42.02,-481,-84,492
 9:24,42.03,-616,436,502
 9:24,42.05,-699,505,483
 9:24,42.06,-801,870,486
 9:24,42.07,-439,-180,490
 9:24,42.08,-645,351,484
 9:24,42.1,-465,-27,502
 9:24,42.11,-795,838,477
 9:24,42.13,-718,700,495
 9:24,42.14,-586,193,483
 9:24,42.16,-780,763,477
 9:24,42.17,-400,-253,496
 9:24,42.18,-753,786,486
 9:24,42.19,-552,252,492
 9:24,42.21,-753,655,477
 9:24,42.22,-781,856,486
 9:24,42.24,-486,-72,477
 9:24,42.25,-600,409,499
 9:24,42.26,-420,-153,499
 9:24,42.28,-799,862,480
 9:24,42.29,-657,546,502
 9:24,42.31,-655,384,484
 9:24,42.32,-454,-55,492
 9:24,42.33,-420,-223,493
 9:24,42.35,-696,676,490
 9:24,42.36,-486,76,502
 9:24,42.37,-778,786,484
 9:24,42.39,-411,-247,495
 9:24,42.4,-550,81,486
 9:24,42.42,-543,214,498
 9:24,42.43,-402,-237,504
 9:24,42.44,-777,835,486
 9:24,42.46,-508,-42,484
 9:24,42.47,-723,553,478
 9:24,42.48,-411,-169,501
 9:24,42.5,-786,865,487
 9:24,42.51,-643,523,495
 9:24,42.53,-667,406,480
 9:24,42.54,-801,847,487
 9:24,42.55,-424,-226,496
 9:24,42.57,-688,652,487
 9:24,42.58,-480,49,505
 9:24,42.6,-787,802,475
