June 4. 2018,,,,
Sensor Datalog,,,,
Time,Time,Mag Field(XYZ),,
[h:m],[s],[mGauss],[mGauss],[mGauss]
 9:27,9.21,-351,-40,310
 9:27,9.23,-552,496,318
 9:27,9.24,-217,-337,276
 9:27,9.26,-304,-166,307
 9:27,9.27,-394,211,283
 9:27,9.28,-508,387,316
 9:27,9.3,-580,664,300
 9:27,9.31,-261,-246,292
 9:27,9.32,-462,259,315
 9:27,9.34,-241,-195,271
 9:27,9.35,-591,652,306
 9:27,9.37,-489,460,283
 9:27,9.38,-411,109,309
 9:27,9.39,-573,601,312
 9:27,9.41,-213,-349,286
 9:27,9.42,-529,561,291
 9:27,9.43,-334,49,273
 9:27,9.45,-544,514,310
 9:27,9.46,-205,-331,297
 9:27,9.48,-310,-135,306
 9:27,9.49,-388,186,279
 9:27,9.5,-219,-301,280
 9:27,9.52,-579,664,301
 9:27,9.53,-267,-237,304
 9:27,9.55,-466,279,316
 9:27,9.56,-249,-217,283
 9:27,9.57,-237,-313,301
 9:27,9.58,-472,417,277
 9:27,9.6,-433,172,313
 9:27,9.61,-583,627,304
 9:27,9.63,-219,-340,295
 9:27,9.64,-388,39,303
 9:27,9.66,-310,-9,280
 9:27,9.67,-559,558,310
 9:27,9.68,-549,601,297
 9:27,9.69,-328,-75,307
 9:27,9.71,-531,462,319
 9:27,9.72,-214,-321,283
 9:27,9.74,-570,646,298
 9:27,9.75,-408,256,277
 9:27,9.76,-492,345,322
 9:27,9.78,-589,664,303
 9:27,9.79,-255,-274,298
 9:27,9.81,-457,387,285
 9:27,9.82,-261,-156,277
 9:27,9.83,-583,637,304
 9:27,9.85,-501,498,294
 9:27,9.86,-396,76,310
 9:27,9.87,-301,-42,271
 9:27,9.89,-216,-342,283
 9:27,9.9,-538,586,297
 9:27,9.92,-348,94,279
 9:27,9.93,-535,481,310
 9:27,9.94,-217,-321,283
 9:27,9.96,-294,-169,306
 9:27,9.97,-402,226,282
 9:27,9.98,-229,-268,276
 9:27,10,-591,663,300
 9:27,10.01,-262,-267,292
 9:27,10.03,-459,231,315
 9:27,10.04,-256,-174,279
 9:27,10.05,-235,-324,294
 9:27,10.07,-490,475,292
 9:27,10.08,-406,96,319
 9:27,10.1,-573,600,313
 9:27,10.11,-214,-345,283
 9:27,10.12,-351,-30,312
 9:27,10.14,-333,63,279
 9:27,10.15,-546,508,321
 9:27,10.16,-574,628,303
 9:27,10.18,-312,-150,297
 9:27,10.19,-514,397,319
 9:27,10.21,-229,-285,280
 9:27,10.22,-580,660,306
 9:27,10.23,-424,307,286
 9:27,10.25,-478,295,318
 9:27,10.26,-589,661,304
 9:27,10.27,-240,-295,292
 9:27,10.29,-481,429,292
 9:27,10.3,-279,-121,276
 9:27,10.32,-579,622,315
 9:27,10.33,-522,529,288
 9:27,10.34,-381,18,312
 9:27,10.36,-316,9,288
 9:27,10.37,-213,-345,286
 9:27,10.39,-559,615,297
 9:27,10.4,-325,-91,309
 9:27,10.41,-529,447,315
 9:27,10.42,-223,-318,289
 9:27,10.44,-289,-210,307
 9:27,10.45,-414,279,283
 9:27,10.47,-487,316,313
 9:27,10.48,-591,661,315
 9:27,10.5,-250,-282,303
 9:27,10.51,-441,186,316
 9:27,10.52,-268,-141,277
 9:27,10.53,-586,637,316
 9:27,10.55,-507,516,289
 9:27,10.57,-378,45,312
 9:27,10.58,-565,561,318
 9:27,10.59,-214,-352,282
 9:27,10.6,-549,594,298
 9:27,10.62,-360,120,276
 9:27,10.63,-532,466,318
 9:27,10.65,-567,649,307
 9:27,10.66,-288,-189,301
 9:27,10.67,-405,252,279
 9:27,10.69,-226,-262,280
 9:27,10.7,-586,660,312
 9:27,10.71,-459,370,291
 9:27,10.73,-439,208,313
 9:27,10.74,-259,-160,279
 9:27,10.76,-231,-331,298
 9:27,10.77,-508,498,292
 9:27,10.78,-297,-36,270
 9:27,10.8,-570,577,316
 9:27,10.81,-210,-349,289
 9:27,10.83,-349,-54,312
 9:27,10.84,-348,85,276
 9:27,10.85,-214,-337,282
 9:27,10.87,-562,637,300
 9:27,10.88,-307,-151,301
 9:27,10.89,-517,402,315
 9:27,10.91,-217,-288,285
 9:27,10.92,-265,-243,298
 9:27,10.94,-448,330,288
 9:27,10.95,-468,265,318
 9:27,10.96,-586,652,310
 9:27,10.98,-237,-307,292
 9:27,10.99,-421,129,313
 9:27,11,-283,-99,279
 9:27,11.02,-567,610,313
 9:27,11.03,-537,558,294
 9:27,11.05,-364,-9,312
 9:27,11.06,-552,522,312
 9:27,11.07,-213,-343,285
 9:27,11.09,-567,622,300
 9:27,11.1,-376,178,276
 9:27,11.12,-519,412,321
 9:27,11.13,-588,664,303
 9:27,11.14,-270,-237,300
 9:27,11.16,-426,300,289
 9:27,11.17,-241,-225,274
 9:27,11.18,-582,655,315
 9:27,11.2,-481,430,288
 9:27,11.21,-435,153,307
 9:27,11.23,-270,-118,282
 9:27,11.24,-217,-345,297
 9:27,11.25,-514,526,289
 9:27,11.26,-373,18,280
 9:27,11.28,-561,552,316
 9:27,11.29,-211,-345,285
 9:27,11.31,-327,-105,300
 9:27,11.32,-367,144,283
 9:27,11.33,-532,441,324
 9:27,11.35,-573,654,309
 9:27,11.36,-279,-210,304
 9:27,11.38,-489,318,312
 9:27,11.39,-231,-240,276
 9:27,11.41,-594,666,303
 9:27,11.42,-472,408,286
 9:27,11.43,-439,178,316
 9:27,11.44,-585,630,310
 9:27,11.46,-211,-342,295
 9:27,11.47,-513,510,289
 9:27,11.49,-303,-43,277
 9:27,11.5,-574,586,309
 9:27,11.51,-540,594,288
 9:27,11.53,-334,-63,310
