June 4. 2018,,,,
Sensor Datalog,,,,
Time,Time,Mag Field(XYZ),,
[h:m],[s],[mGauss],[mGauss],[mGauss]
 8:11,35.37,-555,540,363
 8:11,35.39,-183,-163,354
 8:11,35.4,-334,337,382
 8:11,35.41,-307,-313,310
 8:11,35.42,-529,574,372
 8:11,35.44,-538,246,331
 8:11,35.45,-292,232,370
 8:11,35.47,-493,576,379
 8:11,35.48,-189,-303,331
 8:11,35.5,-549,339,336
 8:11,35.51,-375,-187,315
 8:11,35.52,-465,550,384
 8:11,35.53,-559,402,342
 8:11,35.55,-231,42,375
 8:11,35.56,-427,-94,312
 8:11,35.58,-228,-363,321
 8:11,35.59,-564,483,360
 8:11,35.6,-204,-51,369
 8:11,35.62,-381,441,379
 8:11,35.63,-267,-351,316
 8:11,35.65,-181,-159,352
 8:11,35.66,-516,126,327
 8:11,35.67,-342,358,381
 8:11,35.69,-529,579,373
 8:11,35.7,-196,-237,340
 8:11,35.71,-298,255,379
 8:11,35.73,-346,-259,309
 8:11,35.74,-499,577,373
 8:11,35.76,-547,333,337
 8:11,35.77,-264,136,373
 8:11,35.78,-474,546,378
 8:11,35.8,-210,-342,328
 8:11,35.81,-559,417,357
 8:11,35.82,-436,-84,310
 8:11,35.84,-426,505,381
 8:11,35.85,-552,490,354
 8:11,35.87,-204,-55,361
 8:11,35.88,-471,10,310
 8:11,35.89,-267,-351,318
 8:11,35.91,-549,540,357
 8:11,35.92,-196,-163,352
 8:11,35.94,-342,352,388
 8:11,35.95,-298,-315,310
 8:11,35.96,-181,-234,342
 8:11,35.98,-526,229,324
 8:11,35.99,-298,246,378
 8:11,36,-501,573,381
 8:11,36.02,-190,-300,325
 8:11,36.03,-256,144,375
 8:11,36.05,-387,-178,306
 8:11,36.06,-465,549,390
 8:11,36.07,-559,414,349
 8:11,36.08,-229,34,366
 8:11,36.1,-427,498,385
 8:11,36.11,-231,-357,318
 8:11,36.13,-552,495,352
 8:11,36.14,-460,0,315
 8:11,36.16,-391,451,387
 8:11,36.17,-544,529,363
 8:11,36.18,-195,-141,345
 8:11,36.19,-496,115,318
 8:11,36.21,-298,-310,312
 8:11,36.22,-531,571,369
 8:11,36.24,-189,-228,339
 8:11,36.25,-304,265,378
 8:11,36.26,-328,-259,298
 8:11,36.28,-190,-301,327
 8:11,36.29,-559,318,337
 8:11,36.3,-265,157,382
 8:11,36.32,-466,543,372
 8:11,36.33,-208,-331,316
 8:11,36.35,-234,40,364
 8:11,36.36,-424,-97,310
 8:11,36.37,-427,510,381
 8:11,36.39,-559,483,363
 8:11,36.4,-213,-64,355
 8:11,36.42,-390,447,378
 8:11,36.43,-256,-346,313
 8:11,36.44,-556,537,366
 8:11,36.46,-508,115,315
 8:11,36.47,-348,358,384
 8:11,36.48,-529,574,369
 8:11,36.5,-190,-232,336
 8:11,36.51,-531,223,325
 8:11,36.53,-345,-261,309
 8:11,36.54,-502,565,375
 8:11,36.55,-192,-303,339
 8:11,36.57,-264,151,367
 8:11,36.58,-390,-180,312
 8:11,36.59,-211,-337,325
 8:11,36.61,-559,403,346
 8:11,36.62,-223,40,369
 8:11,36.64,-435,510,382
 8:11,36.65,-229,-360,321
 8:11,36.66,-210,-72,363
 8:11,36.67,-469,16,310
 8:11,36.69,-381,444,387
 8:11,36.71,-556,540,363
 8:11,36.72,-187,-156,354
 8:11,36.73,-342,346,376
 8:11,36.75,-306,-313,309
 8:11,36.76,-531,570,370
 8:11,36.77,-525,207,331
 8:11,36.79,-310,279,381
 8:11,36.8,-330,-271,381
 8:11,36.82,-195,-291,327
 8:11,36.83,-547,307,334
 8:11,36.84,-379,-189,312
 8:11,36.85,-481,559,381
 8:11,36.87,-208,-334,324
 8:11,36.88,-225,61,369
 8:11,36.9,-426,-105,312
 8:11,36.91,-229,-358,322
 8:11,36.92,-565,483,360
 8:11,36.94,-205,-46,360
 8:11,36.95,-387,441,387
 8:11,36.96,-264,-345,315
 8:11,36.98,-192,-148,348
 8:11,36.99,-507,115,313
 8:11,37.01,-339,355,382
 8:11,37.02,-525,573,369
 8:11,37.03,-187,-234,339
 8:11,37.05,-301,261,375
 8:11,37.06,-343,-261,307
 8:11,37.08,-505,570,376
 8:11,37.09,-549,324,342
 8:11,37.1,-259,150,372
 8:11,37.12,-465,553,388
 8:11,37.13,-204,-337,321
 8:11,37.14,-555,420,351
 8:11,37.16,-427,-82,309
 8:11,37.17,-423,502,388
 8:11,37.19,-235,-354,313
 8:11,37.2,-205,-67,360
 8:11,37.21,-468,19,316
 8:11,37.23,-273,-348,306
 8:11,37.24,-547,538,366
 8:11,37.25,-195,-157,358
 8:11,37.27,-340,342,379
 8:11,37.28,-303,-310,309
 8:11,37.3,-198,-246,333
 8:11,37.31,-538,237,330
 8:11,37.32,-298,240,373
 8:11,37.33,-499,562,376
 8:11,37.35,-201,-312,331
 8:11,37.36,-267,135,373
 8:11,37.38,-394,-168,304
 8:11,37.39,-459,550,385
 8:11,37.41,-561,406,346
 8:11,37.42,-234,51,367
 8:11,37.43,-430,519,393
 8:11,37.45,-225,-349,316
 8:11,37.46,-561,481,355
 8:11,37.48,-466,6,316
 8:11,37.49,-390,450,378
 8:11,37.5,-253,-348,307
 8:11,37.51,-201,-153,348
 8:11,37.53,-510,120,312
 8:11,37.54,-303,-312,312
 8:11,37.56,-523,570,361
 8:11,37.57,-190,-237,345
 8:11,37.58,-294,258,370
 8:11,37.6,-346,-262,304
 8:11,37.61,-189,-297,334
 8:11,37.62,-550,325,339
 8:11,37.64,-259,147,378
 8:11,37.65,-459,547,378
 8:11,37.67,-207,-337,327
 8:11,37.68,-229,34,364
 8:11,37.69,-426,-82,312
 8:11,37.71,-426,502,384
 8:11,37.72,-558,481,351
 8:11,37.74,-205,-66,354
 8:11,37.75,-384,435,388
 8:11,37.76,-271,-346,313
 8:11,37.78,-553,549,363
 8:11,37.79,-508,142,327
 8:11,37.8,-333,339,379
 8:11,37.82,-301,-309,304
 8:11,37.83,-195,-256,345
 8:11,37.85,-544,244,325
 8:11,37.86,-355,-250,310
 8:11,37.87,-498,574,381
 8:11,37.89,-201,-307,334
 8:11,37.9,-262,130,378
 8:11,37.91,-396,-160,304
 8:11,37.93,-214,-351,324
 8:11,37.94,-565,433,346
 8:11,37.96,-231,24,369
 8:11,37.97,-412,489,376
 8:11,37.98,-240,-358,312
 8:11,38,-208,-85,358
 8:11,38.01,-480,37,318
 8:11,38.02,-376,423,382
 8:11,38.04,-552,538,360
 8:11,38.05,-196,-160,357
 8:11,38.07,-339,355,382
 8:11,38.08,-298,-316,303
 8:11,38.09,-526,574,376
 8:11,38.11,-537,232,327
 8:11,38.12,-297,244,384
 8:11,38.14,-352,-259,306
 8:11,38.15,-192,-304,333
 8:11,38.16,-552,342,337
 8:11,38.17,-394,-171,313
 8:11,38.19,-460,543,376
 8:11,38.2,-210,-339,325
 8:11,38.22,-228,25,370
 8:11,38.23,-439,-75,309
 8:11,38.25,-243,-354,310
 8:11,38.26,-568,487,354
 8:11,38.27,-201,-81,360
 8:11,38.28,-376,421,387
 8:11,38.3,-267,-345,318
 8:11,38.31,-189,-177,349
 8:11,38.33,-513,151,327
 8:11,38.34,-334,319,387
 8:11,38.35,-522,567,375
 8:11,38.37,-189,-256,336
 8:11,38.38,-291,225,375
 8:11,38.39,-358,-237,309
 8:11,38.41,-492,567,375
 8:11,38.42,-558,361,336
 8:11,38.44,-249,114,369
 8:11,38.45,-402,-144,385
 8:11,38.46,-222,-352,328
 8:11,38.48,-562,445,343
 8:11,38.49,-444,-49,316
 8:11,38.51,-408,483,390
 8:11,38.52,-246,-354,315
 8:11,38.53,-198,-97,358
 8:11,38.55,-490,49,316
 8:11,38.56,-276,-331,313
 8:11,38.57,-550,547,373
 8:11,38.59,-186,-180,354
 8:11,38.6,-324,319,384
 8:11,38.62,-315,-297,307
 8:11,38.63,-189,-265,343
 8:11,38.64,-538,267,330
 8:11,38.66,-286,211,372
 8:11,38.67,-493,564,381
 8:11,38.68,-190,-306,330
 8:11,38.7,-256,135,370
 8:11,38.71,-396,-163,303
 8:11,38.73,-463,544,381
 8:11,38.74,-553,436,351
 8:11,38.75,-228,28,369
 8:11,38.76,-436,-70,315
 8:11,38.78,-237,-357,318
 8:11,38.8,-562,492,360
 8:11,38.81,-474,34,324
 8:11,38.82,-370,424,384
 8:11,38.83,-267,-345,310
 8:11,38.85,-196,-169,351
 8:11,38.86,-513,136,315
 8:11,38.88,-303,-306,309
 8:11,38.89,-519,570,375
 8:11,38.91,-196,-249,339
 8:11,38.92,-291,237,381
 8:11,38.93,-346,-252,316
 8:11,38.94,-199,-310,334
 8:11,38.96,-550,349,337
 8:11,38.97,-246,139,376
 8:11,38.99,-460,549,382
 8:11,39,-216,-340,325
 8:11,39.01,-226,24,367
 8:11,39.03,-439,-73,310
 8:11,39.04,-430,492,382
 8:11,39.05,-559,502,360
 8:11,39.07,-207,-84,361
 8:11,39.08,-477,33,315
 8:11,39.1,-264,-349,319
 8:11,39.11,-543,550,360
 8:11,39.12,-511,142,318
 8:11,39.14,-330,333,382
 8:11,39.15,-300,-312,309
 8:11,39.17,-195,-246,336
 8:11,39.18,-531,241,336
 8:11,39.19,-345,-247,309
 8:11,39.21,-498,567,379
 8:11,39.22,-190,-295,331
 8:11,39.23,-262,142,373
 8:11,39.25,-397,-166,309
 8:11,39.26,-213,-343,327
 8:11,39.28,-564,429,349
 8:11,39.29,-225,30,366
 8:11,39.3,-433,511,387
 8:11,39.32,-231,-354,313
 8:11,39.33,-220,-57,361
 8:11,39.34,-466,0,313
 8:11,39.36,-388,448,387
 8:11,39.37,-552,534,358
 8:11,39.39,-193,-139,348
 8:11,39.4,-502,102,315
 8:11,39.41,-298,-310,310
 8:11,39.42,-532,565,361
 8:11,39.44,-532,219,333
 8:11,39.45,-294,264,378
 8:11,39.47,-340,-270,316
 8:11,39.48,-195,-291,334
 8:11,39.5,-538,306,336
 8:11,39.51,-385,-189,310
 8:11,39.52,-475,556,388
 8:11,39.54,-208,-330,328
 8:11,39.55,-232,51,375
 8:11,39.57,-432,-97,307
 8:11,39.58,-231,-361,306
 8:11,39.59,-564,480,357
 8:11,39.6,-210,-52,363
 8:11,39.62,-387,447,387
 8:11,39.63,-255,-351,313
 8:11,39.65,-190,-150,352
 8:11,39.66,-502,114,319
 8:11,39.67,-349,358,382
 8:11,39.69,-537,562,375
 8:11,39.7,-189,-232,340
 8:11,39.71,-528,225,327
 8:11,39.73,-345,-256,303
 8:11,39.74,-508,577,373
 8:11,39.76,-549,322,333
 8:11,39.77,-264,147,366
 8:11,39.78,-388,-184,310
 8:11,39.8,-214,-339,322
 8:11,39.81,-565,409,343
 8:11,39.82,-430,-84,321
 8:11,39.84,-426,502,381
 8:11,39.85,-232,-361,315
 8:11,39.87,-199,-63,357
 8:11,39.88,-471,21,313
 8:11,39.89,-268,-342,309
 8:11,39.91,-547,538,361
 8:11,39.92,-192,-157,349
 8:11,39.94,-351,370,379
 8:11,39.95,-297,-324,306
 8:11,39.96,-192,-226,349
 8:11,39.98,-525,207,333
 8:11,39.99,-303,273,379
 8:11,40,-505,577,376
 8:11,40.02,-199,-294,336
 8:11,40.03,-552,310,337
 8:11,40.05,-384,-193,310
 8:11,40.06,-478,547,381
 8:11,40.07,-559,406,343
 8:11,40.08,-234,51,375
 8:11,40.1,-420,-97,313
 8:11,40.11,-231,-357,313
 8:11,40.13,-559,480,357
 8:11,40.14,-465,3,315
 8:11,40.16,-390,447,381
 8:11,40.17,-261,-351,307
 8:11,40.18,-199,-151,346
 8:11,40.2,-510,114,322
 8:11,40.21,-301,-316,306
 8:11,40.23,-522,573,366
 8:11,40.24,-193,-228,333
 8:11,40.25,-300,261,378
 8:11,40.26,-334,-255,301
 8:11,40.28,-195,-301,328
 8:11,40.29,-544,328,337
 8:11,40.31,-261,151,364
 8:11,40.32,-469,553,382
 8:11,40.33,-208,-342,325
 8:11,40.35,-567,414,349
 8:11,40.36,-433,-90,306
 8:11,40.37,-427,499,375
 8:11,40.39,-559,495,349
 8:11,40.4,-208,-63,355
 8:11,40.42,-472,19,310
 8:11,40.43,-262,-346,313
 8:11,40.44,-550,537,363
 8:11,40.46,-507,129,331
 8:11,40.47,-343,345,378
 8:11,40.48,-306,-309,310
 8:11,40.5,-192,-232,340
 8:11,40.51,-538,240,331
 8:11,40.53,-351,-247,306
 8:11,40.54,-498,571,379
 8:11,40.55,-204,-310,337
 8:11,40.57,-264,168,369
 8:11,40.58,-381,-192,304
 8:11,40.6,-211,-337,331
 8:11,40.61,-559,411,342
 8:11,40.62,-231,48,372
 8:11,40.64,-430,510,391
 8:11,40.65,-238,-358,312
 8:11,40.66,-559,480,352
 8:11,40.68,-469,10,318
 8:11,40.69,-388,450,388
 8:11,40.71,-546,543,361
 8:11,40.72,-190,-157,352
 8:11,40.73,-507,124,316
 8:11,40.75,-306,-313,307
 8:11,40.76,-529,571,364
 8:11,40.77,-532,231,328
 8:11,40.79,-304,252,384
 8:11,40.8,-346,-246,307
 8:11,40.82,-195,-301,328
 8:11,40.83,-555,337,340
 8:11,40.84,-384,-168,309
 8:11,40.85,-472,549,385
 8:11,40.87,-211,-345,331
 8:11,40.88,-229,22,367
 8:11,40.9,-439,-75,309
 8:11,40.91,-235,-354,319
 8:11,40.92,-556,499,366
 8:11,40.94,-196,-81,354
 8:11,40.95,-379,424,385
 8:11,40.97,-268,-345,310
 8:11,40.98,-193,-171,349
 8:11,41,-513,153,318
 8:11,41.01,-331,333,387
 8:11,41.02,-528,574,373
 8:11,41.03,-190,-255,337
 8:11,41.05,-546,255,330
 8:11,41.06,-361,-234,306
 8:11,41.08,-495,571,378
 8:11,41.09,-552,360,348
 8:11,41.1,-247,118,372
