sep=,

June 13. 2018
Sensor Datalog
Time,Time,Pressure,Temperature,Humidity,Acceleration(XYZ),,,Angular Rate(XYZ),,,Mag Field(XYZ),,,
[h:m],[s],[hPa],[°C],[%],[mg],[mg],[mg],[mdps],[mdps],[mdps],[mGauss],[mGauss],[mGauss],
 8:10,28.41,,,,,,,,,,193,264,307,
 8:10,28.42,,,,,,,,,,177,525,313,
 8:10,28.44,,,,,,,,,,183,190,-156,
 8:10,28.45,,,,,,,,,,192,220,220,
 8:10,28.46,,,,,,,,,,168,469,-336,
 8:10,28.48,,,,,,,,,,178,459,346,
 8:10,28.49,,,,,,,,,,160,624,66,
 8:10,28.51,,,,,,,,,,192,193,136,
 8:10,28.52,,,,,,,,,,181,375,354,
 8:10,28.53,,,,,,,,,,175,282,-310,
 8:10,28.55,,,,,,,,,,168,598,160,
 8:10,28.56,,,,,,,,,,159,574,-220,
 8:10,28.57,,,,,,,,,,193,313,340,
 8:10,28.59,,,,,,,,,,180,568,258,
 8:10,28.60,,,,,,,,,,184,177,-61,
 8:10,28.62,,,,,,,,,,160,609,-127,
 8:10,28.63,,,,,,,,,,162,406,-352,
 8:10,28.64,,,,,,,,,,174,517,316,
 8:10,28.66,,,,,,,,,,159,622,-25,
 8:10,28.67,,,,,,,,,,190,217,228,
 8:10,28.69,,,,,,,,,,151,472,-327,
 8:10,28.70,,,,,,,,,,172,231,-241,
 8:10,28.71,,,,,,,,,,162,619,70,
 8:10,28.73,,,,,,,,,,157,526,-291,
 8:10,28.74,,,,,,,,,,190,384,364,
 8:10,28.75,,,,,,,,,,174,279,-298,
 8:10,28.77,,,,,,,,,,195,175,39,
 8:10,28.78,,,,,,,,,,157,585,-219,
 8:10,28.80,,,,,,,,,,165,342,-342,
 8:10,28.81,,,,,,,,,,180,570,250,
 8:10,28.82,,,,,,,,,,186,178,-64,
 8:10,28.83,,,,,,,,,,198,258,280,
 8:10,28.85,,,,,,,,,,160,414,-352,
 8:10,28.86,,,,,,,,,,187,198,-166,
 8:10,28.88,,,,,,,,,,163,628,-12,
 8:10,28.89,,,,,,,,,,199,211,216,
 8:10,28.91,,,,,,,,,,184,454,349,
 8:10,28.92,,,,,,,,,,178,237,-253,
 8:10,28.93,,,,,,,,,,198,181,124,
 8:10,28.95,,,,,,,,,,159,549,-277,
 8:10,28.96,,,,,,,,,,189,369,363,
 8:10,28.98,,,,,,,,,,165,597,178,
 8:10,28.99,,,,,,,,,,198,172,18,
 8:10,29.00,,,,,,,,,,192,324,342,
 8:10,29.01,,,,,,,,,,168,345,-343,
 8:10,29.03,,,,,,,,,,175,561,250,
 8:10,29.04,,,,,,,,,,151,613,-127,
 8:10,29.06,,,,,,,,,,193,264,286,
 8:10,29.07,,,,,,,,,,181,507,312,
 8:10,29.08,,,,,,,,,,175,193,-162,
 8:10,29.10,,,,,,,,,,165,627,-15,
 8:10,29.11,,,,,,,,,,157,471,-331,
 8:10,29.12,,,,,,,,,,183,436,349,
 8:10,29.14,,,,,,,,,,162,622,79,
 8:10,29.16,,,,,,,,,,196,186,121,
 8:10,29.17,,,,,,,,,,163,532,-282,
 8:10,29.18,,,,,,,,,,174,285,-301,
 8:10,29.19,,,,,,,,,,166,592,183,
 8:10,29.21,,,,,,,,,,157,585,-210,
 8:10,29.22,,,,,,,,,,201,310,333,
 8:10,29.24,,,,,,,,,,159,349,-342,
 8:10,29.25,,,,,,,,,,189,174,-88,
 8:10,29.26,,,,,,,,,,151,616,-112,
 8:10,29.28,,,,,,,,,,162,424,-355,
 8:10,29.29,,,,,,,,,,183,495,321,
 8:10,29.30,,,,,,,,,,180,195,-175,
 8:10,29.32,,,,,,,,,,205,202,199,
 8:10,29.33,,,,,,,,,,151,483,-321,
 8:10,29.35,,,,,,,,,,174,241,-265,
 8:10,29.36,,,,,,,,,,162,619,93,
 8:10,29.37,,,,,,,,,,189,175,100,
 8:10,29.39,,,,,,,,,,192,372,370,
 8:10,29.40,,,,,,,,,,166,298,-321,
 8:10,29.42,,,,,,,,,,187,162,15,
 8:10,29.43,,,,,,,,,,151,592,-199,
 8:10,29.44,,,,,,,,,,196,306,325,
 8:10,29.46,,,,,,,,,,180,544,268,
 8:10,29.47,,,,,,,,,,187,181,-100,
 8:10,29.48,,,,,,,,,,193,243,277,
 8:10,29.50,,,,,,,,,,165,426,-349,
 8:10,29.51,,,,,,,,,,181,495,330,
 8:10,29.53,,,,,,,,,,162,624,10,
 8:10,29.54,,,,,,,,,,193,199,192,
 8:10,29.55,,,,,,,,,,192,423,352,
 8:10,29.57,,,,,,,,,,177,241,-268,
 8:10,29.58,,,,,,,,,,172,612,103,
 8:10,29.59,,,,,,,,,,163,547,-258,
 8:10,29.61,,,,,,,,,,187,360,354,
 8:10,29.62,,,,,,,,,,169,591,211,
 8:10,29.64,,,,,,,,,,192,172,15,
 8:10,29.65,,,,,,,,,,156,586,-199,
 8:10,29.66,,,,,,,,,,163,366,-346,
 8:10,29.68,,,,,,,,,,177,546,273,
 8:10,29.69,,,,,,,,,,150,615,-114,
 8:10,29.71,,,,,,,,,,189,250,267,
 8:10,29.72,,,,,,,,,,157,423,-349,
 8:10,29.73,,,,,,,,,,187,199,-174,
 8:10,29.75,,,,,,,,,,159,619,3,
 8:10,29.76,,,,,,,,,,159,492,-325,
 8:10,29.77,,,,,,,,,,178,432,352,
 8:10,29.79,,,,,,,,,,174,246,-273,
 8:10,29.80,,,,,,,,,,190,178,100,
 8:10,29.82,,,,,,,,,,156,547,-270,
 8:10,29.83,,,,,,,,,,166,301,-324,
 8:10,29.84,,,,,,,,,,169,585,195,
 8:10,29.85,,,,,,,,,,190,168,-6,
 8:10,29.87,,,,,,,,,,195,297,330,
 8:10,29.88,,,,,,,,,,162,361,-357,
 8:10,29.90,,,,,,,,,,187,180,-99,
 8:10,29.91,,,,,,,,,,165,619,-84,
 8:10,29.92,,,,,,,,,,189,244,268,
 8:10,29.94,,,,,,,,,,181,486,334,
 8:10,29.95,,,,,,,,,,181,210,-195,
 8:10,29.97,,,,,,,,,,192,193,184,
 8:10,29.98,,,,,,,,,,156,499,-318,
 8:10,30.00,,,,,,,,,,186,417,366,
 8:10,30.01,,,,,,,,,,163,615,112,
 8:10,30.02,,,,,,,,,,187,178,85,
 8:10,30.03,,,,,,,,,,189,357,351,
 8:10,30.05,,,,,,,,,,168,306,-327,
 8:10,30.06,,,,,,,,,,169,586,201,
 8:10,30.08,,,,,,,,,,162,588,-169,
 8:10,30.09,,,,,,,,,,193,286,322,
 8:10,30.10,,,,,,,,,,175,535,288,
 8:10,30.12,,,,,,,,,,181,177,-117,
 8:10,30.13,,,,,,,,,,151,615,-79,
 8:10,30.15,,,,,,,,,,156,447,-346,
 8:10,30.16,,,,,,,,,,186,477,336,
 8:10,30.17,,,,,,,,,,162,625,25,
 8:10,30.19,,,,,,,,,,198,184,174,
 8:10,30.20,,,,,,,,,,147,511,-315,
 8:10,30.21,,,,,,,,,,162,256,-291,
 8:10,30.23,,,,,,,,,,168,610,126,
 8:10,30.24,,,,,,,,,,157,555,-250,
 8:10,30.26,,,,,,,,,,186,346,352,
 8:10,30.27,,,,,,,,,,174,301,-330,
 8:10,30.28,,,,,,,,,,187,165,-12,
 8:10,30.30,,,,,,,,,,160,598,-180,
 8:10,30.31,,,,,,,,,,171,364,-351,
 8:10,30.32,,,,,,,,,,178,544,279,
 8:10,30.34,,,,,,,,,,190,180,-109,
 8:10,30.35,,,,,,,,,,204,237,261,
 8:10,30.37,,,,,,,,,,160,435,-351,
 8:10,30.38,,,,,,,,,,178,202,-201,
 8:10,30.39,,,,,,,,,,166,628,22,
 8:10,30.41,,,,,,,,,,193,204,178,
 8:10,30.42,,,,,,,,,,192,418,357,
 8:10,30.44,,,,,,,,,,169,253,-282,
 8:10,30.45,,,,,,,,,,196,172,84,
 8:10,30.46,,,,,,,,,,153,564,-247,
 8:10,30.48,,,,,,,,,,189,346,354,
 8:10,30.49,,,,,,,,,,171,579,214,
 8:10,30.50,,,,,,,,,,178,172,-25,
 8:10,30.52,,,,,,,,,,193,282,327,
 8:10,30.53,,,,,,,,,,162,378,-352,
 8:10,30.55,,,,,,,,,,180,534,289,
 8:10,30.56,,,,,,,,,,156,613,-73,
 8:10,30.57,,,,,,,,,,192,228,256,
 8:10,30.58,,,,,,,,,,181,478,336,
 8:10,30.60,,,,,,,,,,178,210,-210,
 8:10,30.61,,,,,,,,,,157,627,31,
 8:10,30.63,,,,,,,,,,150,511,-312,
 8:10,30.64,,,,,,,,,,190,414,361,
 8:10,30.66,,,,,,,,,,171,600,138,
 8:10,30.67,,,,,,,,,,189,175,69,
 8:10,30.68,,,,,,,,,,165,561,-238,
 8:10,30.70,,,,,,,,,,172,319,-340,
 8:10,30.71,,,,,,,,,,168,576,225,
 8:10,30.73,,,,,,,,,,148,597,-156,
 8:10,30.74,,,,,,,,,,189,271,312,
 8:10,30.75,,,,,,,,,,166,388,-358,
 8:10,30.76,,,,,,,,,,189,187,-139,
 8:10,30.78,,,,,,,,,,151,624,-61,
 8:10,30.79,,,,,,,,,,162,451,-346,
 8:10,30.81,,,,,,,,,,181,462,340,
 8:10,30.82,,,,,,,,,,181,219,-228,
 8:10,30.83,,,,,,,,,,192,190,154,
 8:10,30.85,,,,,,,,,,154,517,-304,
 8:10,30.86,,,,,,,,,,174,268,-295,
 8:10,30.87,,,,,,,,,,171,606,148,
 8:10,30.89,,,,,,,,,,192,174,52,
 8:10,30.91,,,,,,,,,,192,345,352,
 8:10,30.92,,,,,,,,,,160,318,-331,
 8:10,30.93,,,,,,,,,,183,166,-31,
 8:10,30.94,,,,,,,,,,160,594,-171,
 8:10,30.96,,,,,,,,,,187,280,313,
 8:10,30.97,,,,,,,,,,166,534,289,
 8:10,30.99,,,,,,,,,,187,193,-133,
 8:10,31.00,,,,,,,,,,196,228,244,
 8:10,31.01,,,,,,,,,,159,454,-345,
 8:10,31.03,,,,,,,,,,183,463,343,
 8:10,31.04,,,,,,,,,,165,624,37,
 8:10,31.05,,,,,,,,,,201,184,159,
 8:10,31.07,,,,,,,,,,186,400,366,
 8:10,31.08,,,,,,,,,,177,271,-286,
 8:10,31.10,,,,,,,,,,162,603,147,
 8:10,31.11,,,,,,,,,,153,570,-243,
 8:10,31.12,,,,,,,,,,195,328,346,
 8:10,31.14,,,,,,,,,,178,583,226,
 8:10,31.15,,,,,,,,,,180,172,-49,
 8:10,31.17,,,,,,,,,,163,603,-148,
 8:10,31.18,,,,,,,,,,163,390,-354,
 8:10,31.19,,,,,,,,,,175,520,307,
 8:10,31.21,,,,,,,,,,160,621,-48,
 8:10,31.22,,,,,,,,,,198,217,237,
 8:10,31.23,,,,,,,,,,159,460,-342,
 8:10,31.25,,,,,,,,,,177,220,-228,
 8:10,31.26,,,,,,,,,,163,624,52,
 8:10,31.28,,,,,,,,,,160,517,-298,
 8:10,31.29,,,,,,,,,,180,393,355,
 8:10,31.30,,,,,,,,,,174,277,-306,
 8:10,31.32,,,,,,,,,,192,156,48,
 8:10,31.33,,,,,,,,,,156,571,-232,
 8:10,31.34,,,,,,,,,,166,337,-342,
 8:10,31.36,,,,,,,,,,168,564,241,
 8:10,31.37,,,,,,,,,,190,180,-57,
 8:10,31.39,,,,,,,,,,186,270,294,
 8:10,31.40,,,,,,,,,,157,400,-351,
 8:10,31.41,,,,,,,,,,183,186,-153,
 8:10,31.43,,,,,,,,,,171,625,-37,
 8:10,31.44,,,,,,,,,,201,217,231,
 8:10,31.46,,,,,,,,,,187,450,346,
 8:10,31.47,,,,,,,,,,180,225,-243,
 8:10,31.48,,,,,,,,,,196,189,138,
 8:10,31.50,,,,,,,,,,151,528,-285,
 8:10,31.51,,,,,,,,,,189,385,363,
 8:10,31.52,,,,,,,,,,168,600,141,
 8:10,31.54,,,,,,,,,,189,168,58,
 8:10,31.55,,,,,,,,,,192,334,348,
 8:10,31.57,,,,,,,,,,171,334,-342,
 8:10,31.58,,,,,,,,,,174,574,234,
 8:10,31.59,,,,,,,,,,153,607,-145,
 8:10,31.61,,,,,,,,,,190,268,303,
 8:10,31.62,,,,,,,,,,178,522,303,
 8:10,31.64,,,,,,,,,,183,186,-145,
 8:10,31.65,,,,,,,,,,159,622,-42,
 8:10,31.66,,,,,,,,,,154,465,-342,
 8:10,31.67,,,,,,,,,,183,454,343,
 8:10,31.69,,,,,,,,,,163,631,67,
 8:10,31.70,,,,,,,,,,192,189,139,
 8:10,31.72,,,,,,,,,,154,523,-285,
 8:10,31.73,,,,,,,,,,168,282,-297,
 8:10,31.75,,,,,,,,,,162,601,162,
 8:10,31.76,,,,,,,,,,153,579,-219,
 8:10,31.77,,,,,,,,,,192,328,343,
 8:10,31.78,,,,,,,,,,163,330,-339,
 8:10,31.80,,,,,,,,,,178,181,-69,
 8:10,31.81,,,,,,,,,,150,604,-135,
 8:10,31.83,,,,,,,,,,163,411,-357,
 8:10,31.84,,,,,,,,,,183,513,315,
 8:10,31.85,,,,,,,,,,183,187,-165,
 8:10,31.87,,,,,,,,,,198,217,217,
 8:10,31.88,,,,,,,,,,151,477,-322,
 8:10,31.90,,,,,,,,,,178,229,-249,
 8:10,31.91,,,,,,,,,,175,622,79,
 8:10,31.92,,,,,,,,,,195,181,129,
 8:10,31.94,,,,,,,,,,190,384,363,
 8:10,31.95,,,,,,,,,,171,285,-315,
 8:10,31.96,,,,,,,,,,190,163,21,
 8:10,31.98,,,,,,,,,,153,574,-210,
 8:10,31.99,,,,,,,,,,195,313,330,
 8:10,32.01,,,,,,,,,,175,552,250,
 8:10,32.02,,,,,,,,,,178,172,-84,
 8:10,32.03,,,,,,,,,,196,259,282,
 8:10,32.05,,,,,,,,,,162,420,-352,
 8:10,32.06,,,,,,,,,,174,496,321,
 8:10,32.07,,,,,,,,,,153,630,-6,
 8:10,32.09,,,,,,,,,,193,205,207,
 8:10,32.10,,,,,,,,,,186,429,351,
 8:10,32.12,,,,,,,,,,169,241,-261,
 8:10,32.13,,,,,,,,,,166,618,99,
 8:10,32.14,,,,,,,,,,157,543,-267,
 8:10,32.16,,,,,,,,,,187,381,361,
 8:10,32.17,,,,,,,,,,169,597,184,
 8:10,32.19,,,,,,,,,,193,165,19,
 8:10,32.20,,,,,,,,,,159,586,-204,
 8:10,32.21,,,,,,,,,,162,355,-349,
