sep=,,,,
,,,,
June 8. 2018,,,,
Sensor Datalog,,,,
Time,Time,Mag Field(XYZ),,
[h:m],[s],[mGauss],[mGauss],[mGauss]
 8:12,34.42,-193,504,292
 8:12,34.44,-508,-51,285
 8:12,34.45,-208,177,343
 8:12,34.46,-384,-174,345
 8:12,34.48,-225,529,273
 8:12,34.49,-174,276,336
 8:12,34.51,-441,258,246
 8:12,34.52,-340,-127,364
 8:12,34.53,-493,-180,300
 8:12,34.55,-168,360,324
 8:12,34.56,-291,-49,363
 8:12,34.57,-291,499,255
 8:12,34.59,-469,-210,321
 8:12,34.6,-499,79,261
 8:12,34.62,-256,28,360
 8:12,34.63,-334,462,339
 8:12,34.64,-192,487,292
 8:12,34.66,-511,-10,274
 8:12,34.67,-369,390,253
 8:12,34.68,-397,-192,348
 8:12,34.7,-213,523,282
 8:12,34.71,-195,214,348
 8:12,34.73,-420,318,247
 8:12,34.74,-229,529,267
 8:12,34.75,-504,-147,312
 8:12,34.76,-175,304,334
 8:12,34.78,-330,-111,358
 8:12,34.79,-264,526,259
 8:12,34.81,-175,370,319
 8:12,34.82,-472,151,255
 8:12,34.83,-282,-37,357
 8:12,34.85,-460,-210,327
 8:12,34.86,-177,439,307
 8:12,34.88,-250,52,360
 8:12,34.89,-345,447,247
 8:12,34.91,-430,-216,340
 8:12,34.92,-517,-24,279
 8:12,34.93,-223,138,346
 8:12,34.94,-396,-196,339
 8:12,34.96,-208,525,276
 8:12,34.97,-508,-88,292
 8:12,34.99,-421,297,241
 8:12,35,-357,-154,354
 8:12,35.01,-496,-157,306
 8:12,35.03,-175,322,325
 8:12,35.04,-459,210,243
 8:12,35.05,-279,520,265
 8:12,35.07,-480,-195,322
 8:12,35.08,-171,403,316
 8:12,35.1,-274,-1,369
 8:12,35.11,-318,487,252
 8:12,35.12,-177,465,294
 8:12,35.14,-501,33,274
 8:12,35.15,-231,79,358
 8:12,35.17,-418,-202,348
 8:12,35.18,-198,498,285
 8:12,35.19,-198,172,349
 8:12,35.21,-400,351,246
 8:12,35.22,-378,-172,355
 8:12,35.23,-504,-127,301
 8:12,35.25,-192,262,331
 8:12,35.26,-337,-126,357
 8:12,35.28,-247,526,259
 8:12,35.29,-489,-172,307
 8:12,35.3,-475,174,253
 8:12,35.32,-303,-60,355
 8:12,35.33,-465,-204,322
 8:12,35.34,-180,423,310
 8:12,35.36,-492,79,268
 8:12,35.37,-333,460,249
 8:12,35.39,-448,-211,333
 8:12,35.4,-502,-9,276
 8:12,35.41,-228,103,354
 8:12,35.42,-360,418,240
 8:12,35.44,-198,517,283
 8:12,35.45,-516,-63,288
 8:12,35.47,-406,339,240
 8:12,35.48,-369,-168,355
 8:12,35.5,-223,532,264
 8:12,35.51,-175,283,333
 8:12,35.52,-447,253,244
 8:12,35.54,-324,-114,358
 8:12,35.55,-486,-180,312
 8:12,35.57,-174,360,321
 8:12,35.58,-282,-45,349
 8:12,35.59,-303,504,244
 8:12,35.6,-465,-213,330
 8:12,35.62,-499,58,261
 8:12,35.63,-250,46,360
 8:12,35.65,-439,-205,333
 8:12,35.66,-186,495,294
 8:12,35.67,-505,-22,285
 8:12,35.69,-384,385,235
 8:12,35.7,-394,-187,348
 8:12,35.71,-510,-88,288
 8:12,35.73,-195,231,339
 8:12,35.75,-429,304,241
 8:12,35.76,-237,535,264
 8:12,35.77,-498,-156,303
 8:12,35.78,-454,207,250
 8:12,35.8,-313,-88,357
 8:12,35.81,-280,517,258
 8:12,35.83,-171,391,310
 8:12,35.84,-481,120,261
 8:12,35.85,-315,486,250
 8:12,35.87,-465,-214,333
 8:12,35.88,-178,457,297
 8:12,35.89,-228,76,357
 8:12,35.91,-357,426,246
 8:12,35.92,-198,502,288
 8:12,35.94,-510,-51,285
 8:12,35.95,-205,175,348
 8:12,35.96,-379,-184,357
 8:12,35.98,-222,528,276
 8:12,35.99,-192,261,340
 8:12,36,-439,276,243
 8:12,36.02,-339,-126,355
 8:12,36.03,-493,-169,312
 8:12,36.05,-174,321,330
 8:12,36.06,-465,204,253
 8:12,36.07,-274,513,262
 8:12,36.09,-475,-199,319
 8:12,36.1,-489,106,262
 8:12,36.12,-268,3,361
 8:12,36.13,-318,481,244
 8:12,36.14,-186,471,304
 8:12,36.16,-501,22,276
 8:12,36.17,-360,417,244
 8:12,36.18,-412,-201,346
 8:12,36.2,-190,508,282
 8:12,36.21,-199,180,348
 8:12,36.23,-405,345,240
 8:12,36.24,-223,529,268
 8:12,36.25,-511,-129,301
 8:12,36.26,-180,277,331
 8:12,36.28,-331,-121,355
 8:12,36.29,-258,528,258
 8:12,36.31,-180,357,316
 8:12,36.32,-472,160,247
 8:12,36.33,-282,-43,355
 8:12,36.35,-469,-217,331
 8:12,36.36,-183,430,315
 8:12,36.38,-250,39,357
 8:12,36.39,-339,453,247
 8:12,36.41,-435,-208,345
 8:12,36.42,-511,-18,277
 8:12,36.43,-211,142,352
 8:12,36.44,-394,-190,354
 8:12,36.46,-213,522,279
 8:12,36.47,-516,-102,294
 8:12,36.49,-427,300,246
 8:12,36.5,-357,-144,361
 8:12,36.51,-495,-159,312
 8:12,36.53,-172,321,333
 8:12,36.54,-460,207,256
 8:12,36.55,-271,525,253
 8:12,36.57,-481,-198,316
 8:12,36.58,-177,400,316
 8:12,36.6,-274,-9,354
 8:12,36.61,-315,481,244
 8:12,36.62,-178,456,301
 8:12,36.64,-505,22,268
 8:12,36.65,-226,84,351
 8:12,36.67,-412,-207,352
 8:12,36.68,-192,507,288
 8:12,36.69,-204,153,342
 8:12,36.71,-396,366,243
 8:12,36.72,-381,-178,349
 8:12,36.73,-508,-106,298
 8:12,36.75,-184,247,346
 8:12,36.76,-349,-138,364
 8:12,36.78,-244,529,259
 8:12,36.79,-496,-163,303
 8:12,36.8,-463,187,261
 8:12,36.82,-306,-66,361
 8:12,36.83,-484,-198,318
 8:12,36.84,-166,412,309
 8:12,36.86,-498,94,258
 8:12,36.87,-322,471,241
 8:12,36.89,-445,-217,336
 8:12,36.9,-508,6,277
 8:12,36.91,-223,106,351
 8:12,36.92,-364,412,243
 8:12,36.94,-199,510,289
 8:12,36.95,-507,-70,288
 8:12,36.97,-198,343,241
 8:12,36.98,-366,-171,354
 8:12,37,-232,540,265
 8:12,37.01,-181,279,336
 8:12,37.02,-450,247,250
 8:12,37.04,-324,-117,348
 8:12,37.05,-486,-177,310
 8:12,37.07,-168,358,324
 8:12,37.08,-282,-46,355
 8:12,37.09,-300,499,250
 8:12,37.1,-463,-208,328
 8:12,37.12,-499,67,265
 8:12,37.13,-238,40,357
 8:12,37.15,-438,-219,342
 8:12,37.16,-187,486,292
 8:12,37.17,-516,-18,270
 8:12,37.19,-379,381,240
 8:12,37.2,-397,-196,352
