sep=,,,,
,,,,
June 8. 2018,,,,
Sensor Datalog,,,,
Time,Time,Mag Field(XYZ),,
[h:m],[s],[mGauss],[mGauss],[mGauss]
 8:10,22.89,-289,-127,-384
 8:10,22.9,-502,-469,-421
 8:10,22.91,-462,-109,-418
 8:10,22.92,-348,-732,-369
 8:10,22.94,-318,-79,-399
 8:10,22.95,-235,-415,-363
 8:10,22.97,-490,-166,-429
 8:10,22.98,-360,-48,-402
 8:10,23,-465,-613,-403
 8:10,23.01,-247,-325,-363
 8:10,23.02,-292,-676,-354
 8:10,23.03,-385,-34,-409
 8:10,23.05,-256,-253,-372
 8:10,23.06,-501,-325,-433
 8:10,23.08,-264,-619,-357
 8:10,23.09,-409,-715,-388
 8:10,23.1,-276,-175,-379
 8:10,23.12,-252,-544,-366
 8:10,23.13,-447,-76,-426
 8:10,23.15,-372,-732,-376
 8:10,23.16,-490,-492,-421
 8:10,23.17,-238,-471,-358
 8:10,23.19,-343,-732,-370
 8:10,23.2,-328,-70,-397
 8:10,23.21,-472,-574,-409
 8:10,23.23,-483,-202,-429
 8:10,23.24,-304,-702,-363
 8:10,23.26,-441,-631,-400
 8:10,23.27,-247,-307,-360
 8:10,23.28,-504,-268,-430
 8:10,23.3,-390,-34,-411
 8:10,23.31,-424,-685,-393
 8:10,23.32,-504,-352,-430
 8:10,23.34,-268,-600,-360
 8:10,23.35,-418,-46,-414
 8:10,23.37,-289,-156,-388
 8:10,23.38,-505,-433,-421
 8:10,23.39,-247,-543,-358
 8:10,23.41,-364,-732,-382
 8:10,23.42,-306,-112,-387
 8:10,23.44,-234,-463,-346
 8:10,23.45,-472,-126,-426
 8:10,23.46,-342,-727,-363
 8:10,23.48,-468,-577,-405
 8:10,23.49,-246,-379,-355
 8:10,23.5,-312,-705,-360
 8:10,23.52,-367,-42,-405
 8:10,23.53,-448,-639,-396
 8:10,23.55,-502,-282,-423
 8:10,23.56,-291,-655,-360
 8:10,23.57,-420,-687,-391
 8:10,23.58,-264,-219,-372
 8:10,23.6,-504,-349,-432
 8:10,23.61,-424,-54,-423
 8:10,23.63,-388,-720,-379
 8:10,23.64,-492,-441,-417
 8:10,23.66,-247,-513,-358
 8:10,23.67,-454,-90,-414
 8:10,23.68,-310,-85,-379
 8:10,23.69,-487,-529,-414
 8:10,23.71,-477,-144,-433
 8:10,23.73,-330,-715,-364
 8:10,23.74,-343,-55,-399
 8:10,23.75,-253,-358,-366
 8:10,23.76,-496,-214,-426
 8:10,23.78,-373,-37,-403
 8:10,23.79,-445,-654,-402
 8:10,23.81,-262,-280,-376
 8:10,23.82,-276,-645,-354
 8:10,23.83,-409,-36,-418
 8:10,23.85,-415,-693,-394
 8:10,23.86,-499,-373,-418
 8:10,23.87,-258,-586,-358
 8:10,23.89,-385,-727,-378
 8:10,23.9,-294,-141,-387
 8:10,23.92,-492,-454,-417
 8:10,23.93,-454,-105,-423
 8:10,23.94,-349,-732,-378
 8:10,23.96,-487,-541,-417
 8:10,23.97,-246,-429,-363
 8:10,23.98,-474,-162,-436
 8:10,24,-351,-49,-400
 8:10,24.01,-465,-622,-409
 8:10,24.03,-495,-219,-430
 8:10,24.04,-304,-687,-363
 8:10,24.05,-375,-37,-408
 8:10,24.07,-253,-283,-369
 8:10,24.08,-505,-298,-426
 8:10,24.1,-408,-28,-411
 8:10,24.11,-420,-697,-393
 8:10,24.12,-271,-202,-372
 8:10,24.14,-261,-576,-352
 8:10,24.15,-438,-69,-421
 8:10,24.16,-297,-139,-387
 8:10,24.18,-495,-471,-417
 8:10,24.19,-238,-496,-357
 8:10,24.21,-357,-724,-376
 8:10,24.22,-324,-85,-391
 8:10,24.23,-241,-414,-355
 8:10,24.25,-486,-165,-426
 8:10,24.26,-315,-708,-364
 8:10,24.27,-462,-622,-405
 8:10,24.29,-247,-339,-363
 8:10,24.3,-493,-241,-427
 8:10,24.32,-391,-34,-417
 8:10,24.33,-439,-667,-396
 8:10,24.34,-504,-321,-424
 8:10,24.36,-273,-621,-360
 8:10,24.37,-412,-52,-418
 8:10,24.39,-274,-177,-381
 8:10,24.4,-504,-405,-417
 8:10,24.41,-441,-73,-423
 8:10,24.42,-375,-726,-376
 8:10,24.44,-309,-118,-387
 8:10,24.45,-240,-480,-354
 8:10,24.47,-471,-112,-424
 8:10,24.48,-331,-67,-393
 8:10,24.5,-477,-564,-412
 8:10,24.51,-241,-390,-355
 8:10,24.52,-303,-705,-361
 8:10,24.53,-363,-45,-406
 8:10,24.55,-249,-306,-366
 8:10,24.56,-502,-271,-429
 8:10,24.58,-282,-661,-357
 8:10,24.59,-421,-679,-384
 8:10,24.6,-264,-231,-376
 8:10,24.62,-271,-601,-355
 8:10,24.63,-424,-54,-418
 8:10,24.65,-393,-721,-387
 8:10,24.66,-501,-402,-417
 8:10,24.67,-250,-555,-361
 8:10,24.69,-370,-730,-372
 8:10,24.7,-303,-111,-393
 8:10,24.71,-490,-492,-427
 8:10,24.73,-478,-120,-427
 8:10,24.74,-351,-733,-367
 8:10,24.76,-327,-64,-385
 8:10,24.77,-246,-391,-363
 8:10,24.78,-490,-195,-433
 8:10,24.8,-358,-46,-399
 8:10,24.81,-447,-631,-396
 8:10,24.82,-252,-307,-366
 8:10,24.84,-289,-667,-360
 8:10,24.85,-396,-42,-409
 8:10,24.87,-259,-228,-372
 8:10,24.88,-516,-342,-429
 8:10,24.89,-267,-610,-358
 8:10,24.91,-399,-718,-379
 8:10,24.92,-286,-150,-376
 8:10,24.93,-252,-534,-354
 8:10,24.95,-453,-78,-423
 8:10,24.96,-364,-733,-372
 8:10,24.98,-486,-517,-403
 8:10,24.99,-241,-459,-354
 8:10,25,-333,-723,-372
 8:10,25.02,-333,-57,-397
 8:10,25.03,-466,-583,-403
 8:10,25.05,-489,-207,-433
 8:10,25.06,-304,-697,-360
 8:10,25.07,-442,-652,-396
 8:10,25.08,-255,-285,-366
 8:10,25.1,-499,-292,-426
 8:10,25.11,-403,-40,-418
 8:10,25.13,-418,-688,-387
 8:10,25.14,-507,-364,-418
 8:10,25.16,-259,-591,-357
 8:10,25.17,-433,-55,-424
 8:10,25.18,-295,-144,-379
 8:10,25.19,-498,-453,-412
 8:10,25.21,-243,-520,-355
 8:10,25.22,-349,-736,-372
 8:10,25.24,-307,-94,-384
